S.No,Lat,Lon,Accuracy,Timestamp,Mode
1,12.192995,79.083868,1.76,"7/31/2025, 11:06:36 AM",auto
2,12.192995,79.083868,1.76,"7/31/2025, 11:06:36 AM",auto
3,12.193003,79.08387,1.42,"7/31/2025, 11:06:41 AM",auto
4,12.193003,79.08387,1.42,"7/31/2025, 11:06:41 AM",auto
5,12.193027,79.083885,1.47,"7/31/2025, 11:07:03 AM",auto
6,12.193027,79.083885,1.47,"7/31/2025, 11:07:03 AM",auto
7,12.193038,79.083916,1.55,"7/31/2025, 11:07:11 AM",auto
8,12.193038,79.083916,1.55,"7/31/2025, 11:07:11 AM",auto
9,12.193038,79.083917,1.74,"7/31/2025, 11:07:11 AM",auto
10,12.193038,79.083917,1.74,"7/31/2025, 11:07:11 AM",auto
11,12.193041,79.083922,1.72,"7/31/2025, 11:07:12 AM",auto
12,12.193041,79.083922,1.72,"7/31/2025, 11:07:12 AM",auto
13,12.193046,79.083927,1.75,"7/31/2025, 11:07:13 AM",auto
14,12.193046,79.083927,1.75,"7/31/2025, 11:07:13 AM",auto
15,12.193045,79.083933,1.77,"7/31/2025, 11:07:14 AM",auto
16,12.193045,79.083933,1.77,"7/31/2025, 11:07:14 AM",auto
17,12.193046,79.083941,1.79,"7/31/2025, 11:07:15 AM",auto
18,12.193046,79.083941,1.79,"7/31/2025, 11:07:15 AM",auto
19,12.193046,79.083941,1.79,"7/31/2025, 11:07:15 AM",auto
20,12.193051,79.083947,1.82,"7/31/2025, 11:07:16 AM",auto
21,12.193051,79.083947,1.82,"7/31/2025, 11:07:16 AM",auto
22,12.193051,79.083947,1.82,"7/31/2025, 11:07:16 AM",auto
23,12.193051,79.083947,1.82,"7/31/2025, 11:07:16 AM",auto
24,12.193053,79.083948,1.89,"7/31/2025, 11:07:16 AM",auto
25,12.193053,79.083948,1.89,"7/31/2025, 11:07:17 AM",auto
26,12.193053,79.083948,1.89,"7/31/2025, 11:07:17 AM",auto
27,12.193055,79.083952,1.87,"7/31/2025, 11:07:17 AM",auto
28,12.193055,79.083952,1.87,"7/31/2025, 11:07:17 AM",auto
29,12.193061,79.083961,1.88,"7/31/2025, 11:07:18 AM",auto
30,12.193061,79.083961,1.88,"7/31/2025, 11:07:18 AM",auto
31,12.193061,79.083961,1.88,"7/31/2025, 11:07:18 AM",auto
32,12.193061,79.083961,1.88,"7/31/2025, 11:07:18 AM",auto
33,12.193066,79.083967,1.88,"7/31/2025, 11:07:19 AM",auto
34,12.193066,79.083967,1.88,"7/31/2025, 11:07:19 AM",auto
35,12.193066,79.083967,1.88,"7/31/2025, 11:07:19 AM",auto
36,12.193066,79.083967,1.88,"7/31/2025, 11:07:19 AM",auto
37,12.193066,79.083967,1.88,"7/31/2025, 11:07:19 AM",auto
38,12.193066,79.083967,1.88,"7/31/2025, 11:07:19 AM",auto
39,12.193066,79.083978,1.88,"7/31/2025, 11:07:20 AM",auto
40,12.193066,79.083978,1.88,"7/31/2025, 11:07:20 AM",auto
41,12.193066,79.083978,1.88,"7/31/2025, 11:07:20 AM",auto
42,12.193066,79.083978,1.88,"7/31/2025, 11:07:20 AM",auto
43,12.193065,79.083986,1.88,"7/31/2025, 11:07:21 AM",auto
44,12.193065,79.083986,1.88,"7/31/2025, 11:07:21 AM",auto
45,12.193065,79.083986,1.88,"7/31/2025, 11:07:21 AM",auto
46,12.193065,79.083986,1.88,"7/31/2025, 11:07:21 AM",auto
47,12.193065,79.083986,1.88,"7/31/2025, 11:07:21 AM",auto
48,12.193065,79.083986,1.88,"7/31/2025, 11:07:21 AM",auto
49,12.193062,79.083972,1.92,"7/31/2025, 11:07:22 AM",auto
50,12.193062,79.083972,1.92,"7/31/2025, 11:07:22 AM",auto
51,12.193062,79.083972,1.92,"7/31/2025, 11:07:22 AM",auto
52,12.193062,79.083972,1.92,"7/31/2025, 11:07:22 AM",auto
53,12.193062,79.083971,2.38,"7/31/2025, 11:07:23 AM",auto
54,12.193062,79.083971,2.38,"7/31/2025, 11:07:23 AM",auto
55,12.193062,79.083971,2.38,"7/31/2025, 11:07:23 AM",auto
56,12.193062,79.083971,2.38,"7/31/2025, 11:07:23 AM",auto
57,12.193062,79.083971,2.38,"7/31/2025, 11:07:23 AM",auto
58,12.193062,79.083971,2.38,"7/31/2025, 11:07:23 AM",auto
59,12.193062,79.083976,2.57,"7/31/2025, 11:07:24 AM",auto
60,12.193062,79.083976,2.57,"7/31/2025, 11:07:24 AM",auto
61,12.193062,79.083976,2.57,"7/31/2025, 11:07:24 AM",auto
62,12.193062,79.083976,2.57,"7/31/2025, 11:07:24 AM",auto
63,12.193063,79.083983,3.23,"7/31/2025, 11:07:25 AM",auto
64,12.193063,79.083983,3.23,"7/31/2025, 11:07:25 AM",auto
65,12.193063,79.083983,3.23,"7/31/2025, 11:07:25 AM",auto
66,12.193063,79.083983,3.23,"7/31/2025, 11:07:25 AM",auto
67,12.193063,79.083983,3.38,"7/31/2025, 11:07:25 AM",auto
68,12.193063,79.083983,3.38,"7/31/2025, 11:07:25 AM",auto
69,12.193065,79.083993,3.61,"7/31/2025, 11:07:25 AM",auto
70,12.193065,79.083993,3.61,"7/31/2025, 11:07:25 AM",auto
71,12.193065,79.084002,3.69,"7/31/2025, 11:07:26 AM",auto
72,12.193065,79.084002,3.69,"7/31/2025, 11:07:26 AM",auto
73,12.193066,79.084009,4.03,"7/31/2025, 11:07:27 AM",auto
74,12.193066,79.084009,4.03,"7/31/2025, 11:07:27 AM",auto
75,12.193066,79.084009,4.03,"7/31/2025, 11:07:27 AM",auto
76,12.193066,79.084009,4.03,"7/31/2025, 11:07:27 AM",auto
77,12.193066,79.084009,4.03,"7/31/2025, 11:07:27 AM",auto
78,12.193066,79.084009,4.03,"7/31/2025, 11:07:27 AM",auto
79,12.193066,79.084018,4.14,"7/31/2025, 11:07:27 AM",auto
80,12.193066,79.084018,4.14,"7/31/2025, 11:07:27 AM",auto
81,12.193066,79.084023,4.06,"7/31/2025, 11:07:28 AM",auto
82,12.193066,79.084023,4.06,"7/31/2025, 11:07:28 AM",auto
83,12.193066,79.084025,4.1,"7/31/2025, 11:07:28 AM",auto
84,12.193066,79.084025,4.1,"7/31/2025, 11:07:28 AM",auto
85,12.193066,79.084028,4.23,"7/31/2025, 11:07:28 AM",auto
86,12.193066,79.084028,4.23,"7/31/2025, 11:07:29 AM",auto
87,12.193067,79.084035,4.23,"7/31/2025, 11:07:29 AM",auto
88,12.193067,79.084035,4.23,"7/31/2025, 11:07:29 AM",auto
89,12.193069,79.084045,4.27,"7/31/2025, 11:07:30 AM",auto
90,12.193069,79.084045,4.27,"7/31/2025, 11:07:30 AM",auto
91,12.193069,79.084045,4.27,"7/31/2025, 11:07:30 AM",auto
92,12.193069,79.084045,4.27,"7/31/2025, 11:07:30 AM",auto
93,12.193069,79.084047,4.26,"7/31/2025, 11:07:30 AM",auto
94,12.193069,79.084047,4.26,"7/31/2025, 11:07:30 AM",auto
95,12.193069,79.084047,4.26,"7/31/2025, 11:07:31 AM",auto
96,12.193069,79.084047,4.26,"7/31/2025, 11:07:31 AM",auto
97,12.19307,79.084051,4.21,"7/31/2025, 11:07:31 AM",auto
98,12.19307,79.084051,4.21,"7/31/2025, 11:07:31 AM",auto
99,12.19307,79.084056,4.29,"7/31/2025, 11:07:31 AM",auto
100,12.19307,79.084056,4.29,"7/31/2025, 11:07:31 AM",auto
101,12.19307,79.084056,4.29,"7/31/2025, 11:07:32 AM",auto
102,12.19307,79.084056,4.29,"7/31/2025, 11:07:32 AM",auto
103,12.193069,79.084061,4.27,"7/31/2025, 11:07:32 AM",auto
104,12.193069,79.084065,4.28,"7/31/2025, 11:07:33 AM",auto
105,12.193069,79.084065,4.28,"7/31/2025, 11:07:33 AM",auto
106,12.193069,79.084065,4.28,"7/31/2025, 11:07:33 AM",auto
107,12.193069,79.084065,4.28,"7/31/2025, 11:07:33 AM",auto
108,12.193069,79.084065,4.28,"7/31/2025, 11:07:33 AM",auto
109,12.193069,79.084072,4.3,"7/31/2025, 11:07:34 AM",auto
110,12.193069,79.084072,4.3,"7/31/2025, 11:07:34 AM",auto
111,12.193069,79.084072,4.3,"7/31/2025, 11:07:34 AM",auto
112,12.193069,79.084072,4.3,"7/31/2025, 11:07:34 AM",auto
113,12.193069,79.084082,4.38,"7/31/2025, 11:07:34 AM",auto
114,12.193069,79.084082,4.38,"7/31/2025, 11:07:34 AM",auto
115,12.19307,79.084092,4.36,"7/31/2025, 11:07:35 AM",auto
116,12.19307,79.084092,4.36,"7/31/2025, 11:07:35 AM",auto
117,12.19307,79.084097,4.53,"7/31/2025, 11:07:35 AM",auto
118,12.19307,79.084097,4.53,"7/31/2025, 11:07:35 AM",auto
119,12.19307,79.084136,3.87,"7/31/2025, 11:07:37 AM",auto
120,12.19307,79.084136,3.87,"7/31/2025, 11:07:37 AM",auto
121,12.19307,79.084136,3.87,"7/31/2025, 11:07:37 AM",auto
122,12.19307,79.084136,3.87,"7/31/2025, 11:07:37 AM",auto
123,12.193069,79.084149,3.59,"7/31/2025, 11:07:38 AM",auto
124,12.193069,79.084149,3.59,"7/31/2025, 11:07:38 AM",auto
125,12.193069,79.084149,3.59,"7/31/2025, 11:07:38 AM",auto
126,12.193069,79.084149,3.59,"7/31/2025, 11:07:38 AM",auto
127,12.193069,79.084151,3.42,"7/31/2025, 11:07:38 AM",auto
128,12.193069,79.084151,3.42,"7/31/2025, 11:07:38 AM",auto
129,12.193068,79.08416,3.23,"7/31/2025, 11:07:39 AM",auto
130,12.193068,79.08416,3.23,"7/31/2025, 11:07:39 AM",auto
131,12.193068,79.084171,2.66,"7/31/2025, 11:07:40 AM",auto
132,12.193068,79.084171,2.66,"7/31/2025, 11:07:40 AM",auto
133,12.193068,79.084171,2.66,"7/31/2025, 11:07:40 AM",auto
134,12.193068,79.084171,2.66,"7/31/2025, 11:07:40 AM",auto
135,12.193068,79.08418,1.9,"7/31/2025, 11:07:41 AM",auto
136,12.193068,79.08418,1.9,"7/31/2025, 11:07:41 AM",auto
137,12.193068,79.08418,1.9,"7/31/2025, 11:07:41 AM",auto
138,12.193068,79.08418,1.9,"7/31/2025, 11:07:41 AM",auto
139,12.19307,79.084188,1.89,"7/31/2025, 11:07:42 AM",auto
140,12.19307,79.084188,1.89,"7/31/2025, 11:07:42 AM",auto
141,12.19307,79.084188,1.89,"7/31/2025, 11:07:42 AM",auto
142,12.19307,79.084188,1.89,"7/31/2025, 11:07:42 AM",auto
143,12.193071,79.084189,2.13,"7/31/2025, 11:07:43 AM",auto
144,12.193071,79.084189,2.13,"7/31/2025, 11:07:43 AM",auto
145,12.193071,79.08419,2.3,"7/31/2025, 11:07:43 AM",auto
146,12.193071,79.08419,2.3,"7/31/2025, 11:07:43 AM",auto
147,12.193071,79.084191,2.34,"7/31/2025, 11:07:44 AM",auto
148,12.193071,79.084191,2.34,"7/31/2025, 11:07:44 AM",auto
149,12.193071,79.084191,2.34,"7/31/2025, 11:07:44 AM",auto
150,12.193071,79.084191,2.34,"7/31/2025, 11:07:44 AM",auto
151,12.193072,79.084196,2.57,"7/31/2025, 11:07:44 AM",auto
152,12.193072,79.084196,2.57,"7/31/2025, 11:07:44 AM",auto
153,12.193072,79.084202,2.63,"7/31/2025, 11:07:45 AM",auto
154,12.193072,79.084202,2.63,"7/31/2025, 11:07:45 AM",auto
155,12.193073,79.084205,2.79,"7/31/2025, 11:07:46 AM",auto
156,12.193073,79.084205,2.79,"7/31/2025, 11:07:46 AM",auto
157,12.193073,79.084205,2.79,"7/31/2025, 11:07:46 AM",auto
158,12.193073,79.084205,2.79,"7/31/2025, 11:07:46 AM",auto
159,12.193074,79.084211,2.95,"7/31/2025, 11:07:47 AM",auto
160,12.193074,79.084211,2.95,"7/31/2025, 11:07:47 AM",auto
161,12.193074,79.084211,2.95,"7/31/2025, 11:07:47 AM",auto
162,12.193074,79.084211,2.95,"7/31/2025, 11:07:47 AM",auto
163,12.193074,79.084211,2.95,"7/31/2025, 11:07:47 AM",auto
164,12.193074,79.084211,2.95,"7/31/2025, 11:07:47 AM",auto
165,12.193076,79.084237,2.95,"7/31/2025, 11:07:48 AM",auto
166,12.193076,79.084237,2.95,"7/31/2025, 11:07:48 AM",auto
167,12.193076,79.084237,2.95,"7/31/2025, 11:07:48 AM",auto
168,12.193076,79.084237,2.95,"7/31/2025, 11:07:48 AM",auto
169,12.193075,79.084226,2.88,"7/31/2025, 11:07:49 AM",auto
170,12.193075,79.084226,2.88,"7/31/2025, 11:07:49 AM",auto
171,12.193075,79.084226,2.88,"7/31/2025, 11:07:49 AM",auto
172,12.193075,79.084226,2.88,"7/31/2025, 11:07:49 AM",auto
173,12.193077,79.084231,2.87,"7/31/2025, 11:07:49 AM",auto
174,12.193077,79.084231,2.87,"7/31/2025, 11:07:49 AM",auto
175,12.193077,79.084231,2.87,"7/31/2025, 11:07:50 AM",auto
176,12.193077,79.084231,2.87,"7/31/2025, 11:07:50 AM",auto
177,12.193079,79.084243,2.81,"7/31/2025, 11:07:50 AM",auto
178,12.193079,79.084243,2.81,"7/31/2025, 11:07:50 AM",auto